"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
0;0,219;0,00365;1674551285,727;0,432575286;5;0,43;2,15;0;0;0
1;0,329;0,0054833333;1674551285,913;0,432368182;5;0,43;2,15;0;0;0
2;0,515;0,0085833333;1674551286,068;0,432901068;5;0,43;2,15;0;0;0
3;0,67;0,0111666667;1674551286,308;0,432844754;5;0,43;2,15;0;0;0
4;0,91;0,0151666667;1674551286,403;0,431816214;5;0,43;2,15;0;0;0
5;1,005;0,01675;1674551286,504;0,432355616;5;0,43;2,15;0;0;0
6;1,106;0,0184333333;1674551286,6;0,432688379;5;0,43;2,15;0;0;0
7;1,202;0,0200333333;1674551286,71;0,432751208;5;0,43;2,15;0;0;0
8;1,312;0,0218666667;1674551286,847;0,431664959;5;0,43;2,15;0;0;0
9;1,449;0,02415;1674551286,942;0,432543173;5;0,43;2,15;0;0;0
10;1,544;0,0257333333;1674551287,034;0,433816049;5;0,43;2,15;0;0;0
11;1,636;0,0272666667;1674551287,144;0,433745308;5;0,43;2,15;0;0;0
12;1,746;0,0291;1674551287,256;0,433043481;5;0,43;2,15;0;0;0
13;1,858;0,0309666667;1674551287,379;0,432357012;5;0,43;2,15;0;0;0
14;1,981;0,0330166667;1674551287,472;0,432642769;5;0,43;2,15;0;0;0
15;2,074;0,0345666667;1674551287,567;0,432905722;5;0,43;2,15;0;0;0
16;2,169;0,03615;1674551287,676;0,432259278;5;0,43;2,15;0;0;0
17;2,278;0,0379666667;1674551287,786;0,432705133;5;0,43;2,15;0;0;0
18;2,388;0,0398;1674551287,895;0,431949785;5;0,43;2,15;0;0;0
19;2,497;0,0416166667;1674551287,988;0,432481275;5;0,43;2,15;0;0;0
20;2,59;0,0431666667;1674551288,081;0,431854377;5;0,43;2,15;0;0;0
21;2,683;0,0447166667;1674551288,175;0,432784252;5;0,43;2,15;0;0;0
